ИНН;КПП;Название организации;Имя файла;Номер документа;Дата документа;Всего;Валюта;НДС;НДС 10%;НДС 18%;НДС 20%;Дата доставки;Статус документа;Дата тарификации;Дата изменения статуса;Подразделение;ФИО ответственного;Комментарий;Ссылка;Удален
5401359124;425301001;"ООО ""Гринлайт""";УПД №220105/73/0047 от 05.01.22;220105/73/0047;05.01.2022;769,41;RUB - Российский рубль;128,24;0;0;128,24;05.01.2022 19:57;Требуется подпись;;06.01.2022 5:06;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=50dfffb3-d492-4b0e-9eac-24da1f85779a&documentId=babed7e0-5e5f-4912-9e0c-3761ebceaa4a;
5401359124;425301001;"ООО ""Гринлайт""";УПД №220118/14/0010 от 18.01.22;220118/14/0010;18.01.2022;6 575,57;RUB - Российский рубль;1 095,94;0;0;1 095,94;18.01.2022 8:49;Требуется подпись;;18.01.2022 4:58;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=2a451fb1-130f-4403-9ebb-40ddd841d4ee&documentId=ece6614a-aa19-4244-b7aa-df964111b8aa;
5401359124;425301001;"ООО ""Гринлайт""";УПД №220121/57/0005 от 21.01.22;220121/57/0005;21.01.2022;1 497,32;RUB - Российский рубль;249,55;0;0;249,55;21.01.2022 9:01;Требуется подпись;;21.01.2022 5:14;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=087cfdd0-bbd1-43b8-bf4b-3a46079e2d48&documentId=afa8a8cc-10e4-4044-8b28-28def8f80f57;
5401359124;425301001;"ООО ""Гринлайт""";УПД №220125/19/1468 от 25.01.22;220125/19/1468;25.01.2022;406,52;RUB - Российский рубль;67,75;0;0;67,75;26.01.2022 4:21;Требуется подпись;;26.01.2022 5:31;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=05134ceb-d5ee-41af-8968-75698a37567a&documentId=3c338773-7684-4d4a-9df2-8c20ba8e194c;
5401359124;425301001;"ООО ""Гринлайт""";УПД №220128/39/0531 от 28.01.22;220128/39/0531;28.01.2022;181 098,04;RUB - Российский рубль;30 183,08;0;0;30 183,08;28.01.2022 16:59;Требуется подпись;;28.01.2022 13:09;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=77fe36f9-844e-440c-ab65-f0c44b72c6eb&documentId=bf877f47-ea13-459c-b34b-c11bf269648c;
5401359124;425301001;"ООО ""Гринлайт""";УПД №220129/37/0393 от 29.01.22;220129/37/0393;29.01.2022;4 000,90;RUB - Российский рубль;666,82;0;0;666,82;30.01.2022 8:57;Требуется подпись;;30.01.2022 11:53;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=b1d330de-6859-4058-aecd-c32a1aa8448f&documentId=ecb8eadf-7415-47d9-b8a0-132ba2caef55;
5401359124;425301001;"ООО ""Гринлайт""";УПД №220209/53/0333 от 09.02.22;220209/53/0333;09.02.2022;3 844,32;RUB - Российский рубль;640,72;0;0;640,72;09.02.2022 22:18;Требуется подпись;;09.02.2022 18:43;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=9dc57a69-1381-41c7-b679-fb932ddea455&documentId=a523e3f1-cce4-45c0-8573-60297737df76;
5401359124;425301001;"ООО ""Гринлайт""";УПД №220210/15/0044 от 10.02.22;220210/15/0044;10.02.2022;936,28;RUB - Российский рубль;156,05;0;0;156,05;10.02.2022 10:56;Требуется подпись;;10.02.2022 7:01;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=7fcef5b7-574c-4981-b56a-aa07bd46cbe6&documentId=ff5d4645-f6b1-4476-bb5f-3213b8212e6d;
5401359124;425301001;"ООО ""Гринлайт""";УПД №220210/57/0002 от 10.02.22;220210/57/0002;10.02.2022;1 699,36;RUB - Российский рубль;283,24;0;0;283,24;10.02.2022 10:23;Требуется подпись;;10.02.2022 6:25;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=bf3573ed-a094-4757-a206-e2a4e79877cc&documentId=2e34da88-58b9-4b85-ba4e-03441d993375;
5401359124;425301001;"ООО ""Гринлайт""";УПД №220217/39/1998 от 17.02.22;220217/39/1998;17.02.2022;47 714,08;RUB - Российский рубль;7 952,37;0;0;7 952,37;18.02.2022 17:04;Требуется подпись;;18.02.2022 13:13;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=0aeccee0-0782-4ee5-9a0c-2375671f44c1&documentId=114ba108-e1b5-4817-bcb5-5c6302131e7e;
