ИНН;КПП;Название организации;Имя файла;Номер документа;Дата документа;Всего;Валюта;НДС;НДС 10%;НДС 18%;НДС 20%;Дата доставки;Статус документа;Дата тарификации;Дата изменения статуса;Подразделение;ФИО ответственного;Комментарий;Ссылка;Удален
5401359124;425301001;"ООО ""Гринлайт""";УПД №230102/27/0018 от 02.01.23;230102/27/0018;02.01.2023;722,5;RUB - Российский рубль;120,42;0;0;120,42;03.01.2023 11:25;Требуется подпись;;03.01.2023 7:26;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=cd3434f9-c91f-4c90-b226-a188b9559991&documentId=d030610d-c9d1-4c3d-bf73-dcdc414d1601;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230103/76/0044 от 03.01.23;230103/76/0044;03.01.2023;1 250,17;RUB - Российский рубль;208,36;0;0;208,36;04.01.2023 11:01;Требуется подпись;;04.01.2023 7:01;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=d3f85acc-5a21-4881-a13e-bc7b668a40bc&documentId=b8c76927-03c1-47a7-9616-b00591d4676e;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230105/37/0578 от 05.01.23;230105/37/0578;05.01.2023;289,54;RUB - Российский рубль;48,26;0;0;48,26;05.01.2023 17:35;Требуется подпись;;05.01.2023 13:40;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=0c5ae2ff-1eb9-4297-99e7-a16be5ee78ce&documentId=ec19dc57-1382-4eb7-8fe1-91759dc4c33a;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230105/10/0011 от 05.01.23;230105/10/0011;05.01.2023;78 787,12;RUB - Российский рубль;13 131,18;0;0;13 131,18;05.01.2023 16:30;Требуется подпись;;05.01.2023 12:38;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=b8d797b5-f300-45cf-ae49-88cced567a8f&documentId=e40e3dd4-f3f0-4d0b-8dd6-fda27e6343f1;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230106/13/0394 от 06.01.23;230106/13/0394;06.01.2023;1 021,68;RUB - Российский рубль;170,28;0;0;170,28;06.01.2023 16:15;Требуется подпись;;06.01.2023 12:17;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=c5472080-251a-4125-aa13-428326459be2&documentId=97795d57-32a1-4c82-8538-5f3b074260dd;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230106/13/0407 от 06.01.23;230106/13/0407;06.01.2023;60 444,67;RUB - Российский рубль;10 074,11;0;0;10 074,11;06.01.2023 16:27;Требуется подпись;;06.01.2023 12:28;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=3cce4d86-a5af-44b0-a20d-5b346de12d9f&documentId=94e0f9a1-7ac4-4bf2-88f2-bfae146bd27d;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230108/76/0010 от 08.01.23;230108/76/0010;08.01.2023;1 030,99;RUB - Российский рубль;171,83;0;0;171,83;08.01.2023 11:38;Требуется подпись;;08.01.2023 7:44;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=8eb43a37-e4fb-47ca-85f5-5eb5fbe4f6b8&documentId=d5455dab-b121-493f-b715-17e7fc0fafa7;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230110/39/0320 от 10.01.23;230110/39/0320;10.01.2023;5 051,55;RUB - Российский рубль;841,93;0;0;841,93;10.01.2023 14:58;Требуется подпись;;10.01.2023 10:58;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=85037dbe-e646-451f-aa82-8e90ffcc83cf&documentId=9d1c54bb-6c34-42c4-b687-e742487758c2;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230110/67/0145 от 10.01.23;230110/67/0145;10.01.2023;14 578,96;RUB - Российский рубль;2 429,82;0;0;2 429,82;10.01.2023 17:07;Требуется подпись;;10.01.2023 13:09;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=b9cd5dd4-36ee-4aac-bcb5-bc6361f03fc2&documentId=02caf4f9-18ba-47d8-a071-446d0b9a0a1e;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230110/04/0015 от 10.01.23;230110/04/0015;10.01.2023;49 861,19;RUB - Российский рубль;8 310,21;0;0;8 310,21;10.01.2023 9:08;Требуется подпись;;10.01.2023 5:18;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=86fa5085-e12a-4e98-90d9-c0f7800072b4&documentId=b804822b-b463-4d5d-bda3-000aaa50a7cd;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230110/39/1545 от 10.01.23;230110/39/1545;10.01.2023;1 751,45;RUB - Российский рубль;291,91;0;0;291,91;10.01.2023 20:47;Требуется подпись;;10.01.2023 16:55;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=ece06804-099e-4af8-a141-6b55a09af69d&documentId=208c9c44-13ae-4e6d-95a4-d402f63a7b4c;
5401359124;425301001;"ООО ""Гринлайт""";УПД №230112/47/0041 от 12.01.23;230112/47/0041;12.01.2023;95,78;RUB - Российский рубль;15,96;0;0;15,96;12.01.2023 10:54;Требуется подпись;;12.01.2023 6:55;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=910dce22-21f5-43e3-bf97-4f8c77c7c526&documentId=c7ce78fe-6ef2-403e-964c-0848fb871c54;
